Lucy,Gombach,4.71,35
Gwenneth,Pierette,3.93,21
Britni,Macey,3.79,20
Giustina,Giff,3.15,30
Raf,Tufts,3.13,23
Beatriz,Cloris,3.95,34
Talya,Earlie,3.85,35
Mallory,Corrine,4.56,27
Larine,Weinreb,3.97,29
Gerianna,Naor,3.95,33
Philis,Weitman,3.23,20
Devina,Evvie,3.38,22
Deloria,Gladstone,4.1,39
Gianina,Shelba,2.38,24
Annaliese,Rolf,4.1,39
Lily,Edvard,4.35,13
Mildrid,Pond,3.47,13
Isa,Brieta,3.45,19
Theodora,Sprage,2.35,21
Emylee,Baylor,4.45,31
Cassandra,Cleo,2.96,17
Andeee,Ambrosia,2.23,10
Meg,Bandeen,4.86,34
Rivalee,Freddi,4.91,11
Cathyleen,Yusuk,2.82,29
Althea,Cassius,4.35,14
Barbara,Rolf,3.16,19
Addia,Delacourt,3.55,34
Jenilee,Autrey,2.74,15
Damaris,Hermes,2.41,21
Molli,Aldric,4.81,21
Lacie,Hartnett,2.57,22
Gusty,Mich,3.97,34
Calla,Gillan,4.56,25
Vonny,Modie,4.63,40
Letizia,Gaspard,2.96,24
Carolina,Monk,2.17,18
Lulita,Egbert,3.82,34
Gwenneth,Reidar,2.6,24
Fina,Klotz,2.75,15
Ethel,Rolf,3.63,14
Joelly,Amadas,3.11,14
Celisse,Voletta,3.97,20
Robinia,Grayce,3.44,21
Anica,Alrich,2.03,25
Marsiella,Elephus,2.1,35
Cam,Schalles,3.88,10
Kirbee,Hashim,4.58,40
Cathyleen,Dom,2.77,27
Collen,Lareena,4.86,40
Frances,Gordon,2.68,28
Judy,Ioab,3.29,21
Leontine,Heidt,4,30
Dyann,Yorick,4.48,14
Aeriela,Dielu,4.47,39
Lita,Freddi,2.5,33
Kristan,Ezar,2.33,15
Evita,Tayib,4.2,36
Vinita,Fax,3.16,38
Barbi,Phi,2.32,14
Allyce,Alabaster,3.55,27
Tani,Granoff,4.32,34
Regina,Anton,4.54,27
Damaris,Toffic,2.7,29
Ottilie,Chinua,4.32,18
Dari,Amasa,3.03,25
Rebeca,Mauer,2.16,27
Aryn,Goddard,4.22,20
Isa,Ivens,4.9,16
Viviene,Adamsen,3.18,37
Leontine,Faust,3.27,40
Laure,Boycey,4.36,14
Bettine,Colleen,2.56,19
Meriel,Trace,2.41,23
Tiffie,Elo,2.28,12
Regina,Gregrory,3.92,21
Gilligan,Florina,3.7,22
Leona,Selway,4.69,28
Gerrie,Ranjiv,2.43,35
Gavrielle,Tice,3.01,19
Liana,Grimbly,2.86,38
Kristina,Ledah,3.71,15
Katleen,Nahum,3.48,18
Eve,Hedve,2.19,16
Wynne,Gherardo,3.6,33
Alameda,Reidar,2.36,25
Larine,Chapland,4.61,12
Janenna,Zaslow,2.47,32
Verla,Laverne,2.5,12
Adore,Lumbard,2.17,28
Myrtice,Wooster,3.05,16
Nannie,Demitria,2.07,33
Valera,Terrence,4.59,36
Shirlee,Raul,2.37,14
Nyssa,Nerita,2.42,20
Starla,Morgun,2.18,33
Marylou,Susannah,4.76,19
June,Bebe,2.14,32
Ottilie,Maxi,2.41,32
Tarra,McGrody,4.19,16
Sonni,Gaal,2.15,28
Minda,Liebermann,2.2,11
Therine,Jerald,2.37,20
Winny,Stover,2.29,25
Barbi,Danby,4.6,31
Ofilia,Ajay,3.72,18
Cecile,Iphlgenia,4.18,22
Concettina,Eiser,3.47,38
Janey,Bach,3.2,21
Asia,Federica,3.3,29
Rivalee,Milde,4.62,25
Tilly,Hollingsworth,3.13,40
Fidelia,Rese,2.31,27
Katharina,Gaynor,3.22,21
Flo,Cavan,2.72,16
Kathy,Thema,3.26,10
Peri,Esmaria,2.91,39
Aurore,Gordon,2.96,25
Liana,Nikaniki,4.25,15
Talya,Ephrem,3.49,29
Tilly,Raffo,2.57,29
Dale,Pascia,3.34,22
Sara-Ann,Sadowski,2.98,19
Starla,Calhoun,3.4,30
Marcy,Bearnard,2.3,26
Leona,Blase,3.76,25
Raquela,Izaak,4.87,26
Marline,Ax,3.64,32
Jasmina,Bury,3.98,26
Kaja,Eno,3.52,26
Amelia,Sperling,4.08,18
Tina,Read,4.59,25
Natka,Blase,3.52,14
Therine,Donell,3.71,21
Maye,Thad,3.2,15
Drucie,Sharl,2.39,27
Dania,Auberbach,4.17,37
Minda,Chabot,4.88,14
Frieda,Berriman,2.81,23
Paulita,Amadas,4.63,36
